"","Time","Clim.ID","sites","Latitude","Longitude","Abies","Acer","Alnus","Anacardiaceae","Aquifoliaceae.undiff","Betula","Boraginaceae","Carya","Castanea","Celtis","Cornus","Cupressaceae.Taxaceae.undiff","Ericaceae.undiff","Euphorbiaceae","Fabaceae.undiff","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Moraceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg.Pinus","Pinus.subg.Strobus","Pinus.undiff","Platanus","Polygonaceae.undiff","Populus","Quercus","Rhamnaceae","Rosaceae.undiff","Salix","Taxodium","Taxus","Tilia","Tsuga","Ulmus"
"39",19,31409,"ANDERSON",36.033333,-85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226340579147152,0.239334400316882,0,0.45359293146663,0,0,0,0.0807320890693356,0,0,0,0,0,0,0,0
"40",19,27889,"BINNEWTR",41.4128,-74.5467,0,0,0.0984001403613299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287035621485447,0,0,0.614564238153223,0,0,0,0,0,0,0,0,0,0,0,0
"41",19,29810,"BROWNSPD",38.154722,-79.616389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337486236958529,0,0,0.662513763041471,0,0,0,0,0,0,0,0,0,0,0,0
"42",19,34952,"CAMEL",30.266667,-85.016667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938575122207504,0,0,0,0.0614248777924961,0,0,0,0,0,0,0,0
"43",19,29772,"CHEYENNE",38.466667,-98.666667,0,0,0,0,0,0.106531670804529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7054795152701,0,0.18798881392537,0,0,0,0,0,0,0,0,0,0,0,0
"44",19,32710,"CLEARPND",33.798611,-78.953611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814134466302387,0,0,0,0.185865533697613,0,0,0,0,0,0,0,0
"45",19,30754,"CUPOLA",36.8,-91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539789920185411,0.113006439987082,0,0.280376222254186,0,0,0,0.0668274175733216,0,0,0,0,0,0,0,0
"46",19,33983,"GOSHEN",31.721111,-86.134167,0,0,0,0,0,0,0,0.0578934454459792,0,0,0,0,0,0,0,0,0,0,0,0.157363023253161,0,0,0,0,0,0,0.37460256988796,0,0,0,0.410140961412899,0,0,0,0,0,0,0,0
"47",19,30442,"JACKSON",37.4331,-85.7238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465608305363228,0.48100524985663,0,0,0,0,0,0.0533864447801416,0,0,0,0,0,0,0,0
"48",19,36891,"LKANNIE",27.2,-81.416667,0,0,0,0,0,0,0,0.0595917557427298,0,0,0,0,0.0870747020499244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2506122619489,0,0,0,0.602721280258446,0,0,0,0,0,0,0,0
"49",19,29135,"MUSCOTAA",39.53,-95.513333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885575816557293,0,0,0.114424183442707,0,0,0,0,0,0,0,0,0,0,0,0
